epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,28179.3,1.51514,0.9055,1.35309,0.86696,0.86871,0.91121,0.54041,1.56272,0.79578,1.40833,0.002674,0.002674,0.002674
150,28488.6,1.51837,0.90248,1.35888,0.86674,0.86942,0.91171,0.54111,1.56194,0.79448,1.4074,0.0026245,0.0026245,0.0026245
151,28797.1,1.51819,0.90272,1.35762,0.86629,0.87023,0.91199,0.54138,1.56122,0.79333,1.40661,0.002575,0.002575,0.002575
152,29106,1.50978,0.90539,1.34871,0.86821,0.86863,0.91236,0.54197,1.56037,0.79219,1.40572,0.0025255,0.0025255,0.0025255
153,29414.5,1.51097,0.89566,1.34913,0.86695,0.87001,0.91247,0.54231,1.55958,0.79096,1.40483,0.002476,0.002476,0.002476
154,29723.5,1.50975,0.8965,1.34991,0.8665,0.86987,0.91256,0.5429,1.55862,0.78976,1.40379,0.0024265,0.0024265,0.0024265
155,30032.5,1.49845,0.89071,1.34543,0.86655,0.87005,0.91279,0.54358,1.55763,0.78849,1.40274,0.002377,0.002377,0.002377
156,30341.6,1.50912,0.89501,1.34977,0.86629,0.87028,0.91288,0.54417,1.55682,0.78722,1.40178,0.0023275,0.0023275,0.0023275
157,30651.1,1.50476,0.88637,1.34883,0.86682,0.87022,0.91309,0.54479,1.55597,0.78611,1.4009,0.002278,0.002278,0.002278
158,30960.4,1.49493,0.88487,1.33854,0.8669,0.87075,0.91315,0.54526,1.55528,0.78476,1.40005,0.0022285,0.0022285,0.0022285
159,31271,1.49269,0.88893,1.3452,0.86799,0.87072,0.91357,0.54611,1.55475,0.78354,1.39935,0.002179,0.002179,0.002179
160,31580.1,1.48558,0.88321,1.33662,0.86734,0.87125,0.91374,0.5464,1.55388,0.78253,1.39844,0.0021295,0.0021295,0.0021295
161,31889.2,1.48387,0.87772,1.33407,0.8676,0.87144,0.91393,0.54688,1.55309,0.78132,1.39752,0.00208,0.00208,0.00208
162,32198.6,1.48354,0.8772,1.33522,0.86848,0.8712,0.91451,0.54746,1.55212,0.78019,1.39662,0.0020305,0.0020305,0.0020305
163,32507.1,1.48951,0.87602,1.33965,0.86807,0.87172,0.91463,0.54807,1.55137,0.77897,1.39577,0.001981,0.001981,0.001981
164,32816.2,1.48825,0.88146,1.33665,0.86883,0.87191,0.91489,0.54853,1.55034,0.77803,1.39481,0.0019315,0.0019315,0.0019315
165,33125.2,1.48585,0.87645,1.33259,0.86866,0.8723,0.9152,0.54915,1.54937,0.77715,1.39369,0.001882,0.001882,0.001882
166,33434.2,1.47051,0.86823,1.32669,0.8699,0.87181,0.91548,0.54994,1.54869,0.77613,1.39288,0.0018325,0.0018325,0.0018325
167,33743.3,1.47432,0.87085,1.32758,0.87094,0.8712,0.91553,0.55072,1.54791,0.77493,1.39207,0.001783,0.001783,0.001783
168,34052.3,1.47003,0.86698,1.32467,0.87187,0.87108,0.91586,0.55112,1.5471,0.77366,1.39124,0.0017335,0.0017335,0.0017335
169,34362.8,1.46798,0.86577,1.32184,0.8709,0.87125,0.91607,0.55154,1.54623,0.77267,1.3904,0.001684,0.001684,0.001684
170,34671.9,1.47007,0.86493,1.3228,0.87099,0.87137,0.91619,0.5522,1.54518,0.77166,1.38937,0.0016345,0.0016345,0.0016345
171,34980.4,1.4637,0.85563,1.31687,0.87329,0.87075,0.91623,0.55301,1.54432,0.77043,1.38849,0.001585,0.001585,0.001585
172,35289.1,1.4578,0.8519,1.3197,0.87409,0.87105,0.91637,0.55399,1.54334,0.76937,1.3876,0.0015355,0.0015355,0.0015355
173,35598.7,1.45646,0.85645,1.31562,0.87445,0.87101,0.91645,0.55465,1.54245,0.76827,1.38672,0.001486,0.001486,0.001486
174,35907.3,1.45518,0.84517,1.31897,0.8739,0.87139,0.91647,0.55554,1.54163,0.76717,1.38591,0.0014365,0.0014365,0.0014365
175,36217.1,1.45391,0.85145,1.31789,0.8746,0.87104,0.9167,0.5561,1.54052,0.76628,1.38476,0.001387,0.001387,0.001387
176,36525.8,1.45085,0.84369,1.31566,0.87495,0.87137,0.9173,0.55688,1.53961,0.76518,1.38393,0.0013375,0.0013375,0.0013375
177,36835.7,1.44894,0.84705,1.31219,0.87492,0.87137,0.91781,0.55761,1.53865,0.7643,1.38295,0.001288,0.001288,0.001288
